 ,Label,Area,%Area
1,20juil07a1a-Image Subset.czi_chanel_4,50410.778,0.169
2,20juil07a2-Image Subset.czi - 20juil07a2 #1_chanel_4,50262.827,0.013
3,20juil07e1-Image Subset.czi_chanel_4,50410.179,4.407
4,20juil07g1-Image Subset.czi_chanel_4,50153.890,4.141
5,20juil07g2-Image Subset.czi_chanel_4,50455.477,7.533
6,20juil10a1-Image Subset.czi_chanel_4,50308.454,7.268
7,20juil10a2-Image Subset.czi - 20juil10a2 #1_chanel_4,31372.690,0.007
8,20juil10c1a-Image Subset.czi_chanel_4,50600.167,4.387
9,20juil10c1b-Image Subset.czi_chanel_4,50235.301,3.097
10,20juil10c2a-Image Subset.czi_chanel_4,50202.120,8.368
11,22fev02a1-Image Subset.czi_chanel_4,49888.207,3.525
12,22fev02a2-Image Subset.czi - 22fev02a2 #1_chanel_4,50265.789,4.413
13,22fev02c1-Image Subset.czi - 22fev02c1 #1_chanel_4,50229.826,0.008
14,22fev02c2-Image Subset.czi - 22fev02c2 #1_chanel_4,50343.459,0.060
15,22fev02c4-Image Subset.czi - 22fev02c4 #1_chanel_4,50454.759,0.496
16,22fev02e3-Image Subset.czi_chanel_4,50347.050,1.938
17,22fev02f2-Image Subset.czi_chanel_4,49672.043,0.248
18,22fev02f4-Image Subset.czi_chanel_4,49280.485,0.407
